story_id,story_title,source_file,paragraph_id,extractor,clip_score,bias,bert_precision,bert_recall,bert_f1,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1,brisque_score,prompt
exp_20250901_133923,The Tale of The Three Little Pigs,exp_20250901_133923.json,1,yake,0.2641201913356781,False,0.5799216032028198,0.3878292441368103,0.46481087803840637,1.0,0.08791208791208792,0.16161616161616163,0.14285714285714285,0.011111111111111112,0.02061855670103093,0.375,0.03296703296703297,0.060606060606060615,13.30926513671875,"Piper, Penny, Penny, Fablewood, Paisley, Piper, breezes, oaks, enchanted, realm, watercolor fantasy, scene 1, whimsical atmosphere"
exp_20250901_133923,The Tale of The Three Little Pigs,exp_20250901_133923.json,1,keybert,0.2828257381916046,False,0.5788873434066772,0.3910859525203705,0.4668060541152954,1.0,0.08791208791208792,0.16161616161616163,0.0,0.0,0.0,0.625,0.054945054945054944,0.10101010101010101,8.47869873046875,"Piper, Penny, fablewood, enchanted, paisley, wildflowers, pigs, piper, trinkets, oaks, watercolor fantasy, scene 1, whimsical atmosphere"
exp_20250901_133923,The Tale of The Three Little Pigs,exp_20250901_133923.json,1,simple,0.28599289059638977,False,0.5650566816329956,0.3710160255432129,0.44792476296424866,1.0,0.08791208791208792,0.16161616161616163,0.0,0.0,0.0,0.375,0.03296703296703297,0.060606060606060615,10.92791748046875,"Piper, Penny, extraordinary, unparalleled, wildflowers, magnificent, preparation, remarkable, enchanted, fablewood, watercolor fantasy, scene 1, whimsical atmosphere"
exp_20250901_133923,The Tale of The Three Little Pigs,exp_20250901_133923.json,2,yake,0.28052783012390137,False,0.6001214385032654,0.3534436821937561,0.4448760449886322,1.0,0.0761904761904762,0.14159292035398233,0.14285714285714285,0.009615384615384616,0.01801801801801802,0.625,0.047619047619047616,0.08849557522123892,16.05096435546875,"Piper, Penny, Piper, chose, hill, windows, adventurous, location, atop, rolling, watercolor fantasy, scene 2, whimsical atmosphere"
exp_20250901_133923,The Tale of The Three Little Pigs,exp_20250901_133923.json,2,keybert,0.3097618520259857,False,0.5361602902412415,0.34228411316871643,0.4178275763988495,1.0,0.0761904761904762,0.14159292035398233,0.0,0.0,0.0,0.625,0.047619047619047616,0.08849557522123892,10.92156982421875,"Piper, Penny, piper, garden, mansion, cottage, cozy, paisley, moss, fairy, watercolor fantasy, scene 2, whimsical atmosphere"
exp_20250901_133923,The Tale of The Three Little Pigs,exp_20250901_133923.json,2,simple,0.27815479040145874,False,0.625487208366394,0.3908800780773163,0.48110654950141907,1.0,0.08571428571428572,0.15789473684210528,0.125,0.009615384615384616,0.01785714285714286,0.6666666666666666,0.05714285714285714,0.10526315789473684,12.16278076171875,"Piper, Penny, rainbow-colored, adventurous, constructed, shimmering, precarious, surrounded, glittering, overhangs, watercolor fantasy, scene 2, whimsical atmosphere"
exp_20250901_133923,The Tale of The Three Little Pigs,exp_20250901_133923.json,3,yake,0.2894870340824127,True,0.4882259964942932,0.30456626415252686,0.37512266635894775,1.0,0.09876543209876543,0.1797752808988764,0.5714285714285714,0.05,0.09195402298850575,0.75,0.07407407407407407,0.1348314606741573,10.46356201171875,"Piper, Penny, Harvest, Moon, Festival, Wolf, King, approached, rumors, celebration, watercolor fantasy, scene 3, whimsical atmosphere"
exp_20250901_133923,The Tale of The Three Little Pigs,exp_20250901_133923.json,3,keybert,0.32251185178756714,False,0.5382025241851807,0.3366316258907318,0.41419506072998047,1.0,0.09876543209876543,0.1797752808988764,0.0,0.0,0.0,0.625,0.06172839506172839,0.11235955056179774,8.71307373046875,"Piper, Penny, pigs, wolf, harvest, piper, penny, moon, treats, trinkets, watercolor fantasy, scene 3, whimsical atmosphere"
exp_20250901_133923,The Tale of The Three Little Pigs,exp_20250901_133923.json,3,simple,0.27808213233947754,False,0.5140352845191956,0.33274906873703003,0.4039866030216217,1.0,0.09876543209876543,0.1797752808988764,0.14285714285714285,0.0125,0.022988505747126436,0.625,0.06172839506172839,0.11235955056179774,12.62518310546875,"Piper, Penny, preparations, irresistible, mischievous, celebration, approached, determined, elaborate, illusions, watercolor fantasy, scene 3, whimsical atmosphere"
exp_20250901_133923,The Tale of The Three Little Pigs,exp_20250901_133923.json,4,yake,0.28233176469802856,True,0.6384792327880859,0.35028165578842163,0.4523794651031494,1.0,0.09523809523809523,0.17391304347826084,0.14285714285714285,0.012048192771084338,0.022222222222222223,0.375,0.03571428571428571,0.06521739130434782,4.38885498046875,"Piper, Penny, Fablewood, Wolf, evening, sky, King, fateful, moon, hung, watercolor fantasy, scene 4, whimsical atmosphere"
